mmsi_a,mmsi_b,name_a,name_b,time_a,time_b,collision_time,lat_a,lon_a,lat_b,lon_b,collision_lat,collision_lon,sog_a,sog_b,cog_a,cog_b,length_m_a,length_m_b,time_delta_seconds,distance_nm
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T08:40:32.000Z,2021-12-16T08:40:37.000Z,2021-12-16T08:40:34.000Z,55.575317,14.353847,55.575437,14.35394,55.575377,14.3538935,1.8,1.8,172.3,238.6,12.0,8.0,5,0.007866015424966045
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T11:16:42.000Z,2021-12-16T11:16:37.000Z,2021-12-16T11:16:39.000Z,55.5736,14.3563,55.573718,14.356185,55.573659,14.3562425,1.4,1.1,222.1,225.6,12.0,8.0,5,0.008088973681577946
245039000,371255000,"","",2021-12-10T11:33:10.000Z,2021-12-10T11:33:53.000Z,2021-12-10T11:33:31.000Z,54.700565,13.242028,54.700495,13.241818,54.70053,13.241923,7.4,7.3,263.8,264.2,,,43,0.008411122610335825
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T07:40:33.000Z,2021-12-16T07:39:43.000Z,2021-12-16T07:40:08.000Z,55.574027,14.357257,55.573945,14.357045,55.573986000000005,14.357151,1.0,3.5,235.8,101.4,12.0,8.0,50,0.008719024551040185
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T10:26:43.000Z,2021-12-16T10:26:19.000Z,2021-12-16T10:26:31.000Z,55.575048,14.356972,55.575195,14.356942,55.5751215,14.356957000000001,1.1,2.9,132.9,191.3,12.0,8.0,24,0.008884493815470261
265016790,265714460,RESCUE PATRIK DAHL,RESCUE FAMOUS,2021-12-13T17:54:14.000Z,2021-12-13T17:54:29.000Z,2021-12-13T17:54:21.000Z,55.61541,12.994142,55.615333,12.993917,55.615371499999995,12.9940295,2.2,1.6,191.2,124.9,4.0,8.0,15,0.008920650079513509
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T11:33:53.000Z,2021-12-16T11:33:58.000Z,2021-12-16T11:33:55.000Z,55.5738,14.356647,55.573873,14.356418,55.5738365,14.3565325,1.0,1.6,130.9,230.9,12.0,8.0,5,0.008923606851754938
265750000,265755000,LAGUNA,COURAGE AF SKILLINGE,2021-12-15T03:01:21.000Z,2021-12-15T03:01:34.000Z,2021-12-15T03:01:27.000Z,55.609542,14.604922,55.609398,14.605002,55.60947,14.604962,1.0,1.0,49.4,52.5,36.0,34.0,13,0.009061499044013795
245039000,371255000,"","",2021-12-10T11:34:10.000Z,2021-12-10T11:34:53.000Z,2021-12-10T11:34:31.000Z,54.700383,13.238478,54.70028,13.238287,54.700331500000004,13.2383825,7.4,7.3,264.2,264.5,,,43,0.009064024970393984
265523410,265768850,RESCUE GAD RAUSING,RESCUE SPARB. SKANE,2021-12-13T12:30:23.000Z,2021-12-13T12:29:51.000Z,2021-12-13T12:30:07.000Z,55.371235,14.172907,55.371242,14.17264,55.371238500000004,14.1727735,1.1,1.7,64.6,279.7,20.0,8.0,32,0.00911930399458946
